job_title,company,location,experience,salary,skills,city_searched,min_experience,max_experience,skills_clean
MIS Executive,Anheuser Busch InBev,"Indore, North Goa",3-6 Yrs,Not Disclosed,"Sales Report, VLOOKUP, Advanced Excel, Monthly MIS, MIS Reporting, Pivot Table, Data Management, Conditional Formatting",indore,3,6,"sales report, vlookup, excel, monthly mis, mis reporting, pivot table, data management, conditional formatting"
Data Analyst Intern,Imast Operations,Indore(Vijay Nagar ),0-1 Yrs,Not Disclosed,"Communication Skills, Lead Generation, Cold Calling, Data analysis, Generation, Cold, Calling, Data",indore,0,1,"communication skills, lead generation, cold calling, data analysis, generation, cold, calling, data"
Data Analyst,Bestpeers Infosystem,Indore,5-7 Yrs,Not Disclosed,"Data analysis, Statistical analysis, Data management, Process improvement, data integrity, Data Analyst, data visualization, SQL",indore,5,7,"data analysis, statistical analysis, data management, process improvement, data integrity, data analyst, data visualization, sql"
Junior Data Analyst - Financial Services v2.0,be3 Human Resource Management,"Indore, Bhopal, Gwalior, Jabalpur, Ujjain",6-8 Yrs,Not Disclosed,"financial analysis, hlookup, macros, data analysis, data analytics, data management, pivot table, power bi",indore,6,8,"financial analysis, hlookup, macros, data analysis, data analytics, data management, pivot table, power bi"
Technical Business Analyst / Data Analyst,PURVIEW,Hybrid - Indore,7-12 Yrs,10-20 Lacs PA,"Business Analyst, Privilege Guard log, Cyberark, Power BI, Data Analyst, user stories, SQL, KCI",indore,7,12,"business analyst, privilege guard log, cyberark, power bi, data analyst, user stories, sql, kci"
Business Data Analyst,Leading Client,Indore,7-10 Yrs,Not Disclosed,"data analyst, visualization, data analysis, business data, power bi, visualization tools, communication and interpersonal skills, data collection",indore,7,10,"data analyst, visualization, data analysis, business data, power bi, visualization tools, communication and interpersonal skills, data collection"
Sr. Data Analyst,Lumenore,Indore,3-6 Yrs,Not Disclosed,"algorithms, python, data analysis, modeling, data mining, bi, power bi, data warehousing",indore,3,6,"algorithms, python, data analysis, modeling, data mining, bi, power bi, data warehousing"
Senior Data Analyst,New Hope Fertility Ivf And Research Center,Indore,5-7 Yrs,Not Disclosed,"Power BI, roas, Data Analytics, CPL, Data analysis, Senior, Analytics, Bi",indore,5,7,"power bi, roas, data analytics, cpl, data analysis, senior, analytics, bi"
Data Analyst,Leading Client,Indore,6-10 Yrs,Not Disclosed,"data analyst, microsoft office, emerging technologies, visualization, data analysis, statistical modeling, process improvement, visualization tools",indore,6,10,"data analyst, microsoft office, emerging technologies, visualization, data analysis, statistical modeling, process improvement, visualization tools"
Lead Data Analyst,Serosoft Solutions,Indore,3-7 Yrs,Not Disclosed,"Health insurance, Data analysis, ERP, Automation, Data modeling, Analytical, Continuous improvement, Operations",indore,3,7,"health insurance, data analysis, erp, automation, data modeling, analytical, continuous improvement, operations"
